KEY,R3,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,HOME TYPE,ZIP,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,LAST SALE DATE,FAVORITE,INTERESTED,IS SHORT SALE,LAST SALE PRICE
150031978,978,http://www.redfin.com/CA/El-Cajon/698-E-Madison-Ave-92020/home/5569926,698 E Madison,El Cajon,CA,32.800776,-116.953668,Single Family Residential,92020,3,2,El Cajon,1661,6000,1957,4,Garage,10/21/2015,N,Y,FALSE,355000
150047722,722,http://www.redfin.com/CA/El-Cajon/609-Ecken-Rd-92020/home/5610859,609 Ecken,El Cajon,CA,32.783118,-116.968965,Single Family Residential,92020,3,2,El Cajon,1248,,1956,4,Garage,10/7/2015,N,Y,FALSE,414000
150040993,993,http://www.redfin.com/CA/El-Cajon/1125-Random-Rd-92020/home/5618408,1125 Random,El Cajon,CA,32.777177,-116.952123,Single Family Residential,92020,3,2,El Cajon,2405,46174,1945,14,Garage,10/8/2015,N,Y,FALSE,610000
150045152,152,http://www.redfin.com/CA/El-Cajon/1120-Burnaby-St-92020/home/5619773,1120 burnaby St,el cajon,CA,32.779944,-116.955622,Single Family Residential,92020,4,2,El Cajon,1868,,1974,6,Garage,10/13/2015,N,Y,FALSE,510000
150046342,342,http://www.redfin.com/CA/El-Cajon/931-S-Johnson-Ave-92020/home/5610644,931 S Johnson,El Cajon,CA,32.783595,-116.970565,Single Family Residential,92020,4,2,El Cajon,1396,7600,1957,4,Garage,10/13/2015,N,Y,FALSE,415000
150049980,980,http://www.redfin.com/CA/El-Cajon/4935-New-Ranch-Rd-92020/home/5633143,4935 NEW RANCH Rd,EL CAJON,CA,32.76824,-116.956017,Single Family Residential,92020,3,3,Mount Helix,2500,27878,1961,6,Garage,10/19/2015,N,Y,FALSE,660000
150048758,758,http://www.redfin.com/CA/El-Cajon/1357-Hardin-Dr-92020/home/5613066,1357 Hardin Dr,El Cajon,CA,32.776773,-116.975959,Single Family Residential,92020,3,3,Mount Helix,2508,38332,1963,10,Garage,10/19/2015,N,Y,FALSE,752000
150047189,189,http://www.redfin.com/CA/El-Cajon/1711-Circo-Del-Cielo-Dr-92020/home/5635073,1711 Circo Del Cielo Dr,El Cajon,CA,32.7704639,-116.959732,Single Family Residential,92020,5,3,El Cajon,2988,,1967,6,Garage,10/22/2015,N,Y,FALSE,700000
150037784,784,http://www.redfin.com/CA/El-Cajon/11328-Rolling-Hills-Dr-92020/home/5636987,11328 Rolling Hills Dr,el cajon,CA,32.769697,-116.945704,Single Family Residential,92020,5,3,Mount Helix,3186,21,1965,6,Garage,10/22/2015,N,Y,FALSE,762500
150039150,150,http://www.redfin.com/CA/El-Cajon/1365-Windridge-Dr-92020/home/5702373,1365 Windridge Dr,El Cajon,CA,32.778747,-116.936005,Single Family Residential,92020,5,4,El Cajon,2916,57499,1972,6,Garage,10/23/2015,N,Y,FALSE,650000
